ID_Estudiante,Carrera,Periodo,Nivel,SituacionMatricula,Asignatura,MatriculaAsignaturaNumero,TotalPorcentajeAsistencia,PrimerParcial,SegundoParcial,EvaluacionSupletorio,PromedioFinalNumero,SituacionFinal,TotalAsignaturas,TotalTutoria
82895152,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,Periodo 2025 - 1S,PRIMER SEMESTRE,LEGALIZADA,ÁLGEBRA LINEAL,1,81.0,6.59,9.41,0.0,8.0,APROBADO,41,
82895152,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,Periodo 2025 - 1S,PRIMER SEMESTRE,LEGALIZADA,CÁLCULO EN UNA VARIABLE,1,100.0,8.45,7.52,0.0,7.98,APROBADO,41,
82895152,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,Periodo 2025 - 1S,PRIMER SEMESTRE,LEGALIZADA,COMUNICACIÓN EFECTIVA,1,88.0,8.58,9.32,0.0,8.95,APROBADO,41,
82895152,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,Periodo 2025 - 1S,PRIMER SEMESTRE,LEGALIZADA,FUNDAMENTOS DE METODOLOGÍA DE LA INVESTIGACIÓN,1,100.0,8.93,9.54,0.0,9.23,APROBADO,41,
82895152,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,Periodo 2025 - 1S,PRIMER SEMESTRE,LEGALIZADA,PROGRAMACIÓN 1,1,100.0,7.47,7.34,0.0,7.4,APROBADO,41,
82895152,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,Periodo 2025 - 2S,SEGUNDO SEMESTRE,LEGALIZADA,ESTRUCTURA DE DATOS,1,100.0,9.8,8.4,0.0,9.1,APROBADO,41,
82895152,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,Periodo 2025 - 2S,SEGUNDO SEMESTRE,LEGALIZADA,FUNDAMENTOS DE CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,1,92.0,9.35,9.74,0.0,9.54,APROBADO,41,
82895152,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,Periodo 2025 - 2S,SEGUNDO SEMESTRE,LEGALIZADA,HABILIDADES PARA LA VIDA,1,100.0,9.17,9.81,0.0,9.49,APROBADO,41,
82895152,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,Periodo 2025 - 2S,SEGUNDO SEMESTRE,LEGALIZADA,PROBABILIDAD Y ESTADÍSTICA,1,94.0,8.43,8.89,0.0,8.66,APROBADO,41,
82895152,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,Periodo 2025 - 2S,SEGUNDO SEMESTRE,LEGALIZADA,PROGRAMACIÓN 2,1,100.0,8.08,9.5,0.0,8.79,APROBADO,41,
82895152,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,Periodo 2026 - 1S,TERCER SEMESTRE,LEGALIZADA,CÁLCULO EN VARIAS VARIABLES,1,0.0,0.0,0.0,0.0,0.0,,41,
82895152,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,Periodo 2026 - 1S,TERCER SEMESTRE,LEGALIZADA,CULTURA DIGITAL Y SOCIEDAD,1,0.0,0.0,0.0,0.0,0.0,,41,
82895152,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,Periodo 2026 - 1S,TERCER SEMESTRE,LEGALIZADA,DISEÑO EXPERIMENTAL,1,0.0,9.47,0.0,0.0,0.0,,41,
82895152,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,Periodo 2026 - 1S,TERCER SEMESTRE,LEGALIZADA,FUNDAMENTOS DE BASE DE DATOS,1,0.0,0.0,0.0,0.0,0.0,,41,
82895152,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,Periodo 2026 - 1S,TERCER SEMESTRE,LEGALIZADA,MODELAMIENTO,1,0.0,0.0,0.0,0.0,0.0,,41,
80954374,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,Periodo 2025 - 1S,PRIMER SEMESTRE,LEGALIZADA,ÁLGEBRA LINEAL,1,71.0,3.35,5.46,7.25,5.82,REPROBADO,41,
80954374,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,Periodo 2025 - 1S,PRIMER SEMESTRE,LEGALIZADA,CÁLCULO EN UNA VARIABLE,1,36.0,1.62,0.0,0.0,0.81,REPROBADO,41,
80954374,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,Periodo 2025 - 1S,PRIMER SEMESTRE,LEGALIZADA,COMUNICACIÓN EFECTIVA,1,71.0,4.72,4.5,8.0,6.3,REPROBADO,41,
80954374,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,Periodo 2025 - 1S,PRIMER SEMESTRE,LEGALIZADA,FUNDAMENTOS DE METODOLOGÍA DE LA INVESTIGACIÓN,1,54.0,4.48,7.03,8.25,7.0,APROBADO,41,
80954374,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,Periodo 2025 - 1S,PRIMER SEMESTRE,LEGALIZADA,PROGRAMACIÓN 1,1,25.0,2.25,0.5,0.0,1.37,REPROBADO,41,
80954374,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,Periodo 2025 - 2S,PRIMER SEMESTRE,LEGALIZADA,ÁLGEBRA LINEAL,2,60.0,6.56,6.23,0.01,3.2,REPROBADO,41,
80954374,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,Periodo 2025 - 2S,PRIMER SEMESTRE,LEGALIZADA,CÁLCULO EN UNA VARIABLE,2,87.0,3.96,4.3,0.0,4.13,REPROBADO,41,
80954374,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,Periodo 2025 - 2S,PRIMER SEMESTRE,LEGALIZADA,COMUNICACIÓN EFECTIVA,2,57.0,4.79,6.39,8.0,6.79,REPROBADO,41,
80954374,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,Periodo 2025 - 2S,PRIMER SEMESTRE,LEGALIZADA,PROGRAMACIÓN 1,2,73.0,4.0,4.83,0.0,4.41,REPROBADO,41,
35485710,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,Periodo 2024 - 2S,PRIMER SEMESTRE,LEGALIZADA,ÁLGEBRA LINEAL,1,54.0,7.83,8.61,0.0,8.22,APROBADO,41,
35485710,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,Periodo 2024 - 2S,PRIMER SEMESTRE,LEGALIZADA,CÁLCULO EN UNA VARIABLE,1,79.0,7.16,5.08,5.5,5.81,REPROBADO,41,
35485710,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,Periodo 2024 - 2S,PRIMER SEMESTRE,LEGALIZADA,COMUNICACIÓN EFECTIVA,1,64.0,7.61,8.9,0.0,8.25,APROBADO,41,
35485710,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,Periodo 2024 - 2S,PRIMER SEMESTRE,LEGALIZADA,FUNDAMENTOS DE METODOLOGÍA DE LA INVESTIGACIÓN,1,57.0,8.12,7.77,0.0,7.94,APROBADO,41,
35485710,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,Periodo 2024 - 2S,PRIMER SEMESTRE,LEGALIZADA,PROGRAMACIÓN 1,1,88.0,6.9,8.08,0.0,7.49,APROBADO,41,
35485710,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,Periodo 2025 - 1S,PRIMER SEMESTRE,LEGALIZADA,CÁLCULO EN UNA VARIABLE,2,86.0,8.8,8.49,0.0,8.64,APROBADO,41,
